0;L;P1G;P2G;P1H
Furhat;0;0;0;0
P1;0;0;0;0
P2;0;0;0;0
T1;0;0;0;0
T2;0;0;0;0
T3;1;0;0;0
T4;0;0;0;0
T5;0;0;0;0
Tab1;1;0;0;0
Tab2;0;0;0;0
0;L;P1G;P2G;P1H
Furhat;0;0;0;0
P1;0;0;0;0
P2;0;0;0;0
T1;0;0;0;0
T2;0;0;0;0
T3;1;0;0;0
T4;0;0;0;0
T5;0;0;0;0
Tab1;1;0;0;0
Tab2;0;0;0;0
0;L;P1G;P2G;P1H
Furhat;0;0;0;0
P1;0;0;0;0
P2;0;0;0;0
T1;0;0;0;0
T2;0;0;0;0
T3;1;0;0;0
T4;0;0;0;0
T5;0;0;0;0
Tab1;1;0;0;0
Tab2;0;0;0;0
0;L;P1G;P2G;P1H
Furhat;0;0;0;0
P1;0;0;0;0
P2;0;7;0;0
T1;0;8;0;0
T2;0;27;0;0
T3;1;10;0;0
T4;0;6;0;0
T5;0;1;0;0
Tab1;1;1;0;0
Tab2;0;0;0;0
